filename,category,fold,recording
Natural ambient noise/90__E__6H_seg7.wav,Natural ambient noise,2,90__E__6H
Natural ambient noise/81__25_09_13_H3_corriente_seg19.wav,Natural ambient noise,4,81__25_09_13_H3_corriente
Natural ambient noise/84__27_09_13_H3_viento_seg19.wav,Natural ambient noise,4,84__27_09_13_H3_viento
Natural ambient noise/89__E__5M_seg17.wav,Natural ambient noise,2,89__E__5M
Natural ambient noise/87__E__3H_seg16.wav,Natural ambient noise,1,87__E__3H
Natural ambient noise/91__E__7H_N_seg6.wav,Natural ambient noise,1,91__E__7H_N
Motorboat/77__23_07_13_H3_Planeadora_seg3.wav,Motorboat,3,77__23_07_13_H3_Planeadora
Motorboat/72__23_07_13_H3_lancha2_seg3.wav,Motorboat,3,72__23_07_13_H3_lancha2
Motorboat/72__23_07_13_H3_lancha2_seg23.wav,Motorboat,3,72__23_07_13_H3_lancha2
Motorboat/50__23_07_13_H3_lancha1_seg8.wav,Motorboat,3,50__23_07_13_H3_lancha1
Motorboat/70__23_07_13_H2_yatePeq_seg1.wav,Motorboat,1,70__23_07_13_H2_yatePeq
Motorboat/39__19_07_13_lanchaMotora_Entra_seg9.wav,Motorboat,4,39__19_07_13_lanchaMotora_Entra
Motorboat/79__23_07_13_H3_zodiac_seg12.wav,Motorboat,2,79__23_07_13_H3_zodiac
Motorboat/50__23_07_13_H3_lancha1_seg3.wav,Motorboat,3,50__23_07_13_H3_lancha1
Motorboat/70__23_07_13_H2_yatePeq_seg8.wav,Motorboat,3,70__23_07_13_H2_yatePeq
Motorboat/77__23_07_13_H3_Planeadora_seg16.wav,Motorboat,1,77__23_07_13_H3_Planeadora
Ocean liner/69__23_07_13_H2_costaVoyager_seg14.wav,Ocean liner,4,69__23_07_13_H2_costaVoyager
Ocean liner/16__10_07_13_mscOpera_InicioSalida_seg23.wav,Ocean liner,3,16__10_07_13_mscOpera_InicioSalida
Ocean liner/69__23_07_13_H2_costaVoyager_seg22.wav,Ocean liner,2,69__23_07_13_H2_costaVoyager
Ocean liner/69__23_07_13_H2_costaVoyager_seg21.wav,Ocean liner,1,69__23_07_13_H2_costaVoyager
Ocean liner/71__23_07_13_H3_Discovery_UK_DUDA_seg18.wav,Ocean liner,3,71__23_07_13_H3_Discovery_UK_DUDA
Ocean liner/22__19_07_13_adventure_maniobra_seg7.wav,Ocean liner,2,22__19_07_13_adventure_maniobra
Ocean liner/69__23_07_13_H2_costaVoyager_seg17.wav,Ocean liner,2,69__23_07_13_H2_costaVoyager
Ocean liner/25__19_07_13_adventureOfTheSea_llegando_seg28.wav,Ocean liner,3,25__19_07_13_adventureOfTheSea_llegando
Ocean liner/25__19_07_13_adventureOfTheSea_llegando_seg17.wav,Ocean liner,2,25__19_07_13_adventureOfTheSea_llegando
Ocean liner/69__23_07_13_H2_costaVoyager_seg26.wav,Ocean liner,1,69__23_07_13_H2_costaVoyager
